"1","cCredito","0","alessia","2.0","danielecinus10@gmail.com","QUOTIDIANO","0"
"2","cash","0","alex","2.0","danielecinus10@gmail.com","QUOTIDIANO","4"
"3","cash","0","francesco","12.0","danielecinus10@gmail.com","FANTASCIENZA_FANTASY","6"
"5","cCredito","0","mirko","14.9","danielecinus10@gmail.com","LETTERATURA_NARRATIVA","0"
"4","cash","0","giorgio","5.0","danielecinus10@gmail.com","MENSILE","1"
"6","cCredito","0","alex","2.0","danielecinus10@gmail.com","MENSILE","0"
"8","cCredito","0","alessia","2.0","danielecinus10@gmail.com","QUOTIDIANO","0"
"5","cash","0","alex","2.0","danielecinus10@gmail.com","QUOTIDIANO","4"
"6","cash","0","francesco","12.0","danielecinus10@gmail.com","FANTASCIENZA_FANTASY","6"
"8","cCredito","0","mirko","14.9","danielecinus10@gmail.com","LETTERATURA_NARRATIVA","0"
"7","cash","0","giorgio","5.0","danielecinus10@gmail.com","MENSILE","1"
"9","cCredito","0","alex","2.0","danielecinus10@gmail.com","MENSILE","0"
"11","cCredito","0","alessia","2.0","danielecinus10@gmail.com","QUOTIDIANO","0"
"8","cash","0","alex","2.0","danielecinus10@gmail.com","QUOTIDIANO","4"
"9","cash","0","francesco","12.0","danielecinus10@gmail.com","FANTASCIENZA_FANTASY","6"
"11","cCredito","0","mirko","14.9","danielecinus10@gmail.com","LETTERATURA_NARRATIVA","0"
"10","cash","0","giorgio","5.0","danielecinus10@gmail.com","MENSILE","1"
"12","cCredito","0","alex","2.0","danielecinus10@gmail.com","MENSILE","0"
